customerID,AvgDataUsage_GB,NumCalls,TVPackage,TechSupport
C2173,10.2,48,Yes,Yes
C0026,45.3,50,No,Yes
C5250,21.2,43,Yes,No
C4414,26.7,41,No,No
C2898,9.3,26,No,Yes
C0398,15.2,40,Yes,No
C5106,36.9,32,Yes,No
C5256,15.1,29,No,No
C2553,47.7,45,No,
C0479,,43,No,No
C5422,123.6,43,Yes,Yes
C5305,22.8,45,No,
C0680,17.8,31,Yes,Yes
C5011,102.1,34,Yes,Yes
C4141,63.3,35,No,No
C4426,45.6,45,No,Yes
C2384,17.9,48,Yes,Yes
C1733,18.4,50,No,No
C2874,12.4,36,No,No
C0701,47.7,40,No,No
C0909,8.6,44,Yes,No
C4285,42.4,37,Yes,No
C2275,25.8,41,No,No
C2026,67.3,52,Yes,Yes
C2725,11.5,38,No,No
C2250,62.4,40,No,Yes
C1417,3.0,42,No,Yes
C1339,54.1,45,Yes,Yes
C3384,,36,Yes,No
C0162,35.4,45,No,No
C3638,47.2,47,No,No
C5316,15.0,29,No,Yes
C1499,6.7,41,No,No
C4953,20.8,49,No,Yes
C5173,566.0,43,Yes,Yes
C2394,,45,No,No
C0568,,32,No,Yes
C3523,23.8,44,Yes,No
C4117,11.1,46,Yes,No
C4192,11.4,56,No,
C0812,47.3,36,No,Yes
C3294,9.9,40,No,No
C2232,42.8,46,No,Yes
C2717,38.6,30,Yes,No
C2796,12.2,38,Yes,
C0842,2.0,39,Yes,
C2478,11.0,36,No,Yes
C0256,41.9,47,No,Yes
C2437,5.0,38,Yes,No
C3692,8.9,49,No,No
C3575,31.9,41,No,No
C3806,64.7,53,No,No
C4397,24.6,37,Yes,No
C3690,18.1,38,No,Yes
C2387,,38,No,No
C1372,45.3,52,No,No
C0111,27.7,31,No,No
C3860,43.9,32,No,No
C1510,21.0,41,No,No
C3916,19.7,41,No,No
C4618,41.3,46,Yes,No
C4724,,37,No,No
C3111,20.4,35,Yes,No
C1922,64.5,41,Yes,No
C4437,12.7,33,Yes,Yes
C2774,7.0,39,Yes,No
C3093,66.2,48,No,No
C0864,12.7,45,No,No
C2422,16.7,38,No,No
C4564,39.3,46,Yes,No
C4201,34.6,34,Yes,Yes
C0371,68.9,40,Yes,Yes
C2336,85.0,42,Yes,Yes
C1436,,32,No,No
C3063,49.2,34,Yes,No
C4659,43.4,39,Yes,No
C2432,78.5,30,No,
C4544,55.3,39,No,No
C1431,56.7,34,No,No
C2616,23.9,33,No,No
C1935,44.4,39,No,No
C4345,67.6,41,Yes,No
C5170,71.6,52,No,No
C4886,,39,No,Yes
C4782,,27,No,
C2907,4.6,35,Yes,Yes
C2819,,42,No,Yes
C1505,,32,Yes,No
C3723,39.6,42,Yes,No
C4064,36.1,40,No,Yes
C4043,79.0,37,Yes,No
C1006,19.4,41,Yes,No
C1241,56.4,44,Yes,No
C5120,12.9,29,No,No
C1321,42.5,48,Yes,No
C2005,52.0,47,No,Yes
C3140,67.9,43,No,No
C1912,,20,No,No
C2818,20.3,39,Yes,No
C1592,30.8,46,Yes,No
C0667,40.9,40,Yes,Yes
C1186,60.2,46,No,
C1778,622.6,46,Yes,
C3085,19.4,33,Yes,Yes
C1901,5.2,37,No,Yes
C5399,,35,No,Yes
C3214,24.6,33,No,No
C1115,65.8,52,No,No
C0181,31.2,33,No,No
C4108,,31,No,No
C4091,22.3,50,Yes,Yes
C3844,9.0,37,Yes,No
C4140,8.8,49,No,Yes
C1167,39.2,37,Yes,No
C1476,50.8,39,Yes,No
C3572,21.6,41,Yes,No
C5376,50.9,34,Yes,Yes
C1042,33.1,50,Yes,No
C4688,66.3,27,No,Yes
C2251,26.6,33,No,
C2861,10.2,48,No,Yes
C4750,40.4,45,No,Yes
C0386,,33,No,No
C2357,17.4,39,Yes,No
C3578,,34,Yes,No
C3968,33.0,36,Yes,No
C0976,81.0,39,Yes,Yes
C5412,44.5,48,No,No
C3090,56.7,42,No,
C2530,34.3,39,Yes,No
C0770,30.4,26,Yes,No
C4086,63.1,35,Yes,No
C1814,57.6,40,Yes,No
C4216,3.8,40,No,Yes
C1467,36.2,28,Yes,No
C4075,73.5,51,Yes,No
C4212,54.3,33,No,Yes
C3305,38.6,44,Yes,No
C1068,34.1,40,Yes,No
C4955,56.9,44,Yes,No
C0446,40.3,45,No,No
C5162,44.3,49,Yes,No
C3957,,45,No,No
C3520,20.7,38,No,No
C4732,13.7,55,Yes,No
C4907,25.4,41,Yes,No
C2899,17.9,45,Yes,No
C1670,61.0,39,No,
C3851,28.7,30,No,No
C2033,51.5,45,No,Yes
C4417,22.3,43,No,No
C3030,60.2,30,Yes,Yes
C2325,126.1,45,No,No
C4815,12.4,37,No,Yes
C0841,58.2,41,No,No
C4674,56.9,40,Yes,No
C0245,6.9,41,Yes,No
C1946,46.5,44,Yes,No
C1905,13.3,44,Yes,
C2499,6.9,48,Yes,No
C2674,,39,Yes,Yes
C1672,10.5,53,Yes,Yes
C1498,74.1,37,No,Yes
C3797,49.1,34,No,No
C3267,2.7,44,Yes,Yes
C4027,31.4,32,Yes,
C2701,42.7,38,No,Yes
C1721,511.8,42,Yes,No
C1656,14.4,40,Yes,No
C3350,36.3,47,Yes,Yes
C0144,117.1,44,No,Yes
C2368,17.3,49,Yes,Yes
C5219,54.5,35,No,Yes
C4039,34.4,34,Yes,Yes
C3462,41.8,31,No,Yes
C4873,,39,No,No
C2971,54.2,32,Yes,No
C5252,26.9,38,Yes,No
C1206,37.8,48,No,Yes
C4124,25.3,43,No,No
C4162,57.7,46,No,Yes
C2779,9.2,37,Yes,No
C0450,45.4,44,Yes,No
C0041,13.0,35,No,No
C3732,82.4,35,No,No
C0210,58.1,40,No,
C3975,20.5,34,Yes,No
C1034,14.2,39,Yes,No
C1591,83.4,42,No,No
C0552,,38,Yes,Yes
C3613,49.4,31,No,No
C4379,33.5,51,No,No
C0622,23.1,37,No,
C2220,11.9,37,Yes,No
C3874,35.9,38,No,Yes
C4507,39.3,38,Yes,
C2333,12.6,46,No,No
C0417,5.2,36,No,No
C5176,21.5,45,No,No
C2341,3.2,45,Yes,No
C0383,64.0,40,No,No
C2009,629.4,47,No,No
C5264,58.7,40,No,No
C3351,,40,No,Yes
C1683,25.9,41,No,Yes
C4964,53.0,38,No,No
C0079,15.0,33,No,
C2328,26.1,26,No,Yes
C3047,36.7,45,Yes,No
C0827,311.2,52,No,No
C3027,56.6,23,No,No
C1549,94.7,27,Yes,No
C2319,37.6,36,No,No
C2783,15.2,38,Yes,Yes
C2217,17.6,49,Yes,Yes
C2579,17.9,33,No,Yes
C0433,8.9,46,No,No
C2927,89.7,38,No,Yes
C3379,38.3,28,No,No
C2240,36.4,47,No,Yes
C3553,98.6,33,No,No
C5389,63.1,40,No,No
C2323,13.1,34,Yes,No
C4348,51.6,47,No,No
C4243,20.4,34,No,
C1500,49.0,35,Yes,
C1584,25.8,39,No,No
C2015,,32,No,No
C0704,55.3,44,No,Yes
C5239,205.5,43,Yes,No
C0232,15.8,37,No,Yes
C3832,36.4,48,No,Yes
C4741,41.3,40,No,Yes
C4938,54.8,34,No,Yes
C0091,40.1,35,Yes,Yes
C1532,6.5,39,No,Yes
C1544,13.3,57,Yes,No
C1195,39.7,43,No,Yes
C4214,81.4,49,No,No
C4261,48.6,36,Yes,No
C3676,7.6,47,No,No
C3539,16.9,41,No,Yes
C3339,48.9,50,No,No
C2571,23.2,38,No,No
C3154,27.2,34,No,Yes
C4505,,36,No,No
C4624,,44,Yes,No
C4776,62.1,37,No,No
C2768,13.7,40,Yes,No
C0218,,34,Yes,
C4193,39.6,45,No,
C2627,79.1,45,Yes,
C5423,,44,No,Yes
C4906,26.0,36,Yes,
C0034,60.4,37,Yes,Yes
C1196,,42,Yes,No
C2649,33.4,49,No,No
C0853,42.8,34,No,
C1653,54.8,40,Yes,No
C0732,53.0,32,No,No
C5345,102.6,40,No,Yes
C2764,20.2,30,Yes,No
C2705,68.7,29,Yes,No
C0709,30.2,37,No,No
C1259,27.2,32,Yes,Yes
C3840,5.2,44,No,No
C1831,79.5,46,No,No
C2203,28.0,37,No,No
C2728,17.2,40,Yes,No
C1002,18.9,33,Yes,Yes
C1301,5.5,40,Yes,No
C2508,63.0,37,No,No
C0267,11.9,29,Yes,No
C0641,40.3,40,No,No
C1954,46.0,41,Yes,Yes
C0695,49.2,33,Yes,No
C0615,53.0,31,Yes,No
C0309,23.1,31,No,Yes
C1235,26.8,36,No,
C3544,20.0,37,Yes,No
C0154,17.1,41,Yes,No
C2685,33.7,48,No,No
C1973,2.6,40,No,No
C0160,17.9,37,No,No
C1628,88.3,40,No,No
C4007,54.6,46,No,No
C5111,98.7,40,Yes,Yes
C2383,,53,No,Yes
C0604,24.2,42,Yes,No
C0690,54.7,48,No,No
C4110,76.6,35,Yes,No
C3236,10.5,33,Yes,No
C0583,60.4,46,No,Yes
C3571,7.2,45,Yes,Yes
C2878,68.8,42,No,No
C0717,29.7,40,No,No
C0179,75.2,28,Yes,Yes
C3969,51.7,35,No,Yes
C4598,36.0,54,Yes,No
C3055,30.1,37,No,Yes
C3632,,33,Yes,No
C2560,582.7,42,Yes,No
C2706,12.7,42,No,No
C0849,,37,No,Yes
C3959,108.6,23,No,Yes
C3172,32.2,51,Yes,No
C4885,15.1,39,No,No
C3867,20.1,43,Yes,Yes
C4016,64.9,25,Yes,No
C5353,4.7,49,Yes,Yes
C1840,80.5,33,Yes,
C3387,9.7,43,Yes,Yes
C0724,,25,Yes,Yes
C1552,96.0,38,No,No
C4175,13.6,38,Yes,Yes
C4378,12.8,25,No,Yes
C0928,69.3,37,No,No
C3794,22.4,39,No,Yes
C0863,28.6,33,Yes,No
C2255,28.7,30,Yes,No
C0637,42.0,40,Yes,No
C0174,,44,No,Yes
C3978,3.7,39,No,No
C2242,11.5,37,No,No
C1762,41.0,32,No,No
C2813,9.5,35,No,No
C4151,33.1,42,No,Yes
C3427,38.5,42,No,Yes
C3430,27.0,36,No,
C0482,27.0,34,No,No
C5271,109.5,34,No,Yes
C3450,46.2,41,Yes,No
C4048,97.7,54,Yes,Yes
C4072,165.6,40,Yes,Yes
C4056,16.6,35,No,No
C4170,48.7,42,Yes,
C1011,,43,No,Yes
C3733,18.3,36,Yes,No
C3904,13.0,33,Yes,No
C4415,5.7,36,No,No
C3424,81.3,36,Yes,No
C4529,67.0,36,No,Yes
C1950,35.4,35,Yes,No
C2407,85.1,34,No,No
C1869,31.6,44,Yes,Yes
C2433,16.2,50,Yes,Yes
C4347,11.0,43,Yes,No
C3736,21.8,32,No,Yes
C5013,41.1,44,No,Yes
C3853,98.2,32,Yes,No
C4292,23.0,41,Yes,No
C3120,87.0,22,Yes,Yes
C2657,74.8,45,No,No
C3527,33.8,32,Yes,Yes
C3859,57.0,38,Yes,Yes
C4021,15.9,41,No,No
C3474,80.8,35,Yes,No
C0062,35.0,51,Yes,No
C5147,19.1,42,No,No
C4702,70.3,42,Yes,
C0021,5.3,33,Yes,No
C4333,51.9,41,Yes,No
C5260,28.5,51,Yes,Yes
C0340,46.2,41,Yes,No
C0742,,38,Yes,Yes
C4302,45.7,32,No,No
C3040,45.5,35,No,No
C0167,52.3,31,Yes,Yes
C5026,70.4,41,Yes,No
C5018,64.6,35,No,Yes
C0130,27.6,45,No,No
C2599,84.5,35,No,No
C4835,28.6,27,No,No
C5410,12.9,46,No,Yes
C3739,23.2,41,Yes,No
C4274,49.3,32,No,No
C0080,31.5,49,Yes,Yes
C3137,9.1,39,No,Yes
C4344,71.1,40,No,Yes
C1963,48.1,40,No,No
C1107,25.9,37,No,Yes
C1524,37.1,24,No,No
C4523,,41,No,No
C5344,26.3,31,No,No
C3129,,36,Yes,Yes
C0735,10.5,51,No,No
C2565,29.9,37,Yes,No
C4387,37.5,37,Yes,No
C1826,54.9,40,No,No
C2866,430.5,33,Yes,
C3363,14.3,47,Yes,No
C4282,32.9,36,Yes,Yes
C2839,45.6,29,Yes,No
C4813,14.0,45,No,Yes
C5346,45.5,44,No,Yes
C0031,12.9,39,No,Yes
C0144,117.1,44,No,Yes
C3532,72.0,37,Yes,Yes
C0792,55.6,56,No,Yes
C1914,23.3,34,No,No
C4983,61.0,35,No,No
C2443,24.7,49,Yes,Yes
C1290,32.4,33,Yes,Yes
C3341,36.9,29,No,No
C0955,62.5,49,No,Yes
C3926,87.7,35,Yes,Yes
C1352,48.8,39,No,Yes
C0001,14.9,44,No,No
C4937,21.6,40,No,No
C3818,,38,Yes,
C0523,,41,No,No
C3182,45.6,38,No,Yes
C1429,159.4,55,Yes,No
C1699,32.9,28,Yes,No
C0345,102.0,40,No,Yes
C4156,18.9,34,Yes,No
C3725,62.9,32,No,Yes
C5082,7.4,35,No,No
C1856,81.8,35,No,Yes
C5069,12.5,39,Yes,No
C1366,45.8,33,No,No
C3456,29.0,48,Yes,Yes
C3243,34.4,31,No,No
C0965,43.3,45,No,No
C3349,58.0,40,Yes,No
C0826,83.7,40,No,No
C3080,33.6,33,Yes,Yes
C2872,25.0,41,No,No
C0985,51.1,40,No,No
C2190,102.9,33,Yes,No
C3720,76.4,33,Yes,Yes
C0447,23.7,38,No,Yes
C1713,39.2,36,No,Yes
C2075,24.1,40,Yes,Yes
C0063,15.8,43,Yes,
C2633,74.2,37,Yes,Yes
C3249,99.0,61,No,Yes
C1082,81.5,40,No,
C4786,20.2,40,Yes,Yes
C2048,38.7,46,Yes,Yes
C1801,46.2,47,No,
C5051,537.6,44,No,
C2982,40.7,32,No,No
C0137,36.3,40,No,No
C5158,25.5,49,No,Yes
C0699,11.0,43,No,Yes
C5098,43.9,49,No,No
C4565,28.1,42,No,No
C5215,32.9,42,No,No
C2067,21.3,54,Yes,No
C3123,40.7,29,No,No
C4754,8.1,47,No,Yes
C2884,19.1,41,Yes,No
C0934,24.2,43,No,No
C0153,14.7,48,Yes,No
C0839,60.6,40,No,
C3102,44.4,39,Yes,Yes
C0200,53.4,29,Yes,Yes
C1030,29.1,36,No,No
C0010,41.9,43,Yes,No
C1812,75.0,28,No,No
C3232,,44,Yes,No
C2820,21.4,45,Yes,No
C3054,40.2,50,No,No
C4460,52.4,38,No,No
C4025,36.9,43,Yes,No
C5094,17.1,44,No,No
C1945,17.4,34,No,No
C5330,17.0,41,No,No
C3619,19.2,25,No,No
C3666,57.8,29,Yes,No
C1132,30.5,42,Yes,No
C2350,22.9,52,No,No
C0587,36.1,30,Yes,Yes
C2984,31.4,40,No,No
C0461,44.4,27,No,No
C5169,19.6,46,Yes,No
C0322,41.1,40,Yes,No
C4922,49.7,40,Yes,No
C1378,21.7,37,No,No
C5391,14.9,42,No,
C1501,38.5,38,Yes,
C0845,31.1,51,No,No
C1062,13.4,34,Yes,No
C3877,6.4,41,Yes,
C2031,51.1,43,No,Yes
C4403,8.2,38,Yes,No
C1219,89.6,35,No,
C3043,,43,No,Yes
C0796,51.4,41,No,No
C1622,12.6,40,No,Yes
C5441,23.5,29,No,No
C0092,11.2,56,No,No
C2178,14.1,40,No,Yes
C4608,471.6,54,No,Yes
C1252,95.6,30,No,No
C2916,39.8,36,Yes,No
C5178,,43,No,No
C1708,78.6,32,Yes,Yes
C0757,34.0,46,Yes,Yes
C2636,36.0,41,No,Yes
C4753,11.8,45,Yes,No
C4257,34.6,40,No,No
C2995,39.2,36,Yes,No
C3741,50.7,45,Yes,Yes
C4765,31.4,45,Yes,No
