customerID,NbContacts,LastContactDays,SatisfactionScore,FeedbackText
C4493,2.0,114,4.0,"SOMETIMES THE SPEED DROPS AT NIGTH NO ISSUES LATELY, SATISFIED CUSTOMER"
C1985,3.0,58,3.0,INSTALLATION TOOK LONGER THAN EXPECTED
C3586,0.0,42,3.0,"God value for the money Honestly, everything works fine for our family"
C1149,2.0,138,3.0,GREAT SERVICE ANND FAIR PRICE HAPPY WITH THE INTERNET SPEED AND SUPPORT
C3857,4.0,89,5.0,GOT A MINOR OUTAGE LAST WEEK
C2287,,56,3.0,Price is a bit hhigh compared to others
C1322,1.0,147,2.0,"Honestly, outages every week, unacceptable service"
C1398,,2,3.0,"Honestly, very ad support, no one answers my calls Speed never matches what was promised in the contract"
C0148,,144,3.0,"Outages every wee, unaccetpable service Honestly, i have opened several tickets and nothing was fixed Average experience so far Thank you."
C4973,1.0,74,1.0,"No iissues lately, satisfied customer!"
C0824,5.0,133,2.0,"Price is a bit high compared to others Phone line is fine, internet varies"
C1452,3.0,54,2.0,"Billing is clear aand correct each month Occasional hiccupps but nothing too bad Hepful chat support, fast resolution"
C2410,4.0,64,3.0,INTERNET IS SLOW AND UNSTABLE ALMOST EVERY EVENING
C1018,2.0,159,3.0,"Email support replies after some days Thank you. Grreat service and fair price Good servie overall, nothing major to complain about Got a minor outage last week"
C4380,1.0,138,5.0,"HONESTLY, AVERAGE EXPERIENCE SO FAR THANK YOU. GREAT SERRVICE AND FAIR PRICE"
C3202,,68,2.0,Great service and fair price Good value for the money Support agent was kind and oslved my issue quickly
C1380,6.0,37,4.0,I HAVE OPENED SEVERAL TICKETS NAD NOTHING WAS FIXED THANK YOU. INSTALLATION TOOK LONGER THAN EXPECTED!!!
C0636,1.0,7,3.0,"Honestly, average experience so far Happy with the internet speed and support Support agent was kind and solved my isssue qucikly"
C0092,4.0,18,1.0,"Too expensve for poor quality, thinking to cancel"
C2239,5.0,85,2.0,"HAPPY WTIH THE INTERNET SPEED AND SUPPORT THANK YOU. GOOD SERVICE OVERALL, NOTHING MAJOR TO COMPLAIN ABOUT"
C1258,2.0,178,2.0,"HONESTLY, GOOD VALUE FOR HTE MONEY"
C3610,3.0,98,,"GERAT SERVICE AND FAR PRICE HONESTLY, AVERAGE EXPERIENCE SO FAR BILLING IS CLEAR AND CORRECT EACH MONTH EVERYTHING WORKS FINE FOR OUR FAMILY!"
C2934,4.0,96,2.0,Support agent aws kind and solved my issue quickly
C1458,5.0,19,4.0,"Honestly, average experience so far!"
C1775,3.0,83,5.0,Average expperience so far Thank you.
C0283,1.0,131,2.0,"No issues latey, satisfied customer Email support replies after osme days Helpful chat support, fast resolution"
C4361,3.0,8,4.0,"It works, not amazing, not terrile"
C1771,1.0,21,1.0,Good vlue for the money
C3622,0.0,146,1.0,"Honestly, lattency and disconnects make it impossible to work"
C0392,3.0,118,3.0,"Service is okay but could be better Hnoestly, billing is clear and correct each month"
C5201,0.0,87,2.0,Support agent wwas kind and solved my issue quickly Great service and fair price Service is okay but colud be etter Thank you.
C4284,2.0,35,2.0,Happy with he internet speed and support
C0843,1.0,86,2.0,GOOD VALUE FOR THE MONEY SUPPORT AGENT WWAS KIND AND SOLVED MY ISSUE QUICKLY!!!
C3200,3.0,159,4.0,"BILLING IS CLEAR AND CORRECT EACH MONTH NO ISSUES LATELY, SATISFIED CUSTOMER"
C2526,3.0,108,2.0,"Honestly, speed never matches what was promised in the contract!!!"
C3638,5.0,100,2.0,Good value for the money Thank yoou.!!!
C0430,5.0,146,4.0,"Honestly, phone line is fine, internet varies Great serviice and fair price"
C4901,2.0,121,4.0,Price is a bbit high compared to others!!
C0039,3.0,22,1.0,"Happy with the internet speed and support Thank you. Price is a bit hgih compared to othres Occasional hiccups but nothing too bad The new router works well, stable connection"
C0399,3.0,148,,I have opned several tickets and nothing aws fixed They overcharged me twice and ignored my emails
C3092,0.0,43,3.0,"No issues latley, satisfied customer"
C5339,,127,5.0,Speed never matches what aws promised in the contract Thank you.
C2046,3.0,130,4.0,"Heelpful chat support, fast resolution!!!"
C5434,2.0,55,2.0,"Too expensive for poor quality, thinking to cancel Thank you. Service is okay but could be better Very bad support, no one answers my calsl!"
C1955,0.0,38,2.0,"Honestly, great service nd fair price"
C1639,7.0,129,,Installation took longer than expected Great service and fair price Thhank you.
C0749,1.0,147,4.0,Internet is slow and unstable almost every evening
C0132,4.0,85,1.0,"rPice is a bit high compared to others Thank you. The enw router works well, stable connection Thank you. Support aent was kind and solved my issuue quickly Thank you."
C3455,2.0,33,4.0,Billing is clear and correct each month Service is okay but cuold be better
C0229,1.0,71,4.0,"The new router woorks well, stable connection"
C0120,4.0,27,2.0,"Honestly, occasional hiccups but nothing too ad They overcharged me twice and ignored my emails Thank you."
C2762,1.0,69,2.0,"HONESTLY, LATENCY AND DISCONNECTS MAKE IT IMPOSSIBLE TO WORK"
C1575,4.0,176,2.0,"Honestly, helpful chat support, fst resolution"
C0518,0.0,50,3.0,"Helpful chat suppport, fast resolution Email support replies after some days Occasional hiccups but nothing too bad"
C1807,1.0,106,3.0,"Honestly, good service overall, nothing major to complain about"
C0792,3.0,136,1.0,"HONESTLY, PRICE IS A BIT HIGH COMPARED TO OTHERS"
C1376,3.0,156,,"Honestly, the new router works well, stable connection Billnig is clear and correct each month"
C1369,1.0,89,2.0,"oGod service overall, nothing major to complain about"
C0361,2.0,100,,"GOOD SERVICE OVERALL, NOTHHING MAJOR TO COMPLAIN ABOUT AVERAGE EXPERIENCE SO FAR"
C3406,,54,,Installation took longer than expected Happy with the interneet speed and support
C4199,5.0,110,4.0,Service is okay but could be better Billing is clear and correct each month Thak you.!!!
C0883,1.0,71,,"Helpful chat support, fast resolution Service is okay but could be better Support agent was kind aand solved my issue quicckly Thank you. Everything works fine for our family Thank you."
C5263,0.0,39,2.0,Great service and fiar price
C2644,0.0,150,3.0,"The new router works well, stable connection Helpful hat support, fast resolution Thank you."
C4605,3.0,105,,"GOOD SERVICE OVEARLL, NOTHING MAJOR TO COMPLAIN ABOUT"
C5135,0.0,112,1.0,"I have opened everal tickets and nothing was fixed Billing errors keep happenin, I am really tired of this"
C1553,5.0,60,2.0,"Honestly, the new router works well, satble connection"
C5118,4.0,118,3.0,"Honestly, average experience so far"
C1697,2.0,128,2.0,Sometimes the speed drops at night Thank you.
C4438,,151,5.0,"Too expensive for poor quality, thinking to cancel"
C3237,3.0,156,5.0,Installation took longer than expeted
C3506,4.0,15,5.0,Great service and fair price Great esrvice and fair price
C0990,1.0,175,4.0,GOOD VALUE FOR THE MONEY
C1904,,160,5.0,"Billing errors keep happening, I am really tired of this hTank you."
C1752,3.0,110,4.0,Seervice is okay but could be better
C0868,3.0,0,1.0,Price is a bit high compared to others Thank you.
C2922,0.0,177,5.0,"NO ISSUES LATELY, SATISFIED CUSTOMRE!"
C2650,3.0,103,2.0,"Service is okay but culd be better No issues lately, satisfied customer"
C1423,3.0,176,4.0,Email support repliies after some days
C0123,1.0,140,1.0,"IT WORKS, NOT AMAZING, NOT TERRIBLE THHANK YOU."
C3295,1.0,71,4.0,"Honestly, happy with the internet speed and suppport"
C2591,0.0,139,5.0,"The new router works well, stable connection Good service overall, nothing majjor to complain about!!!"
C0099,0.0,15,2.0,"Helpful chat support, fast resolution Happy with the internet speed and suppport"
C3189,0.0,10,2.0,I have opened several tckets and nothing was fixed
C1743,,101,4.0,"Average experience so far Phone lie is fine, internet varies"
C3759,0.0,4,,Everything works fine for our family Everything works fine fro our family
C1804,2.0,111,,"Too expensive for poor quality, thinking to cancel Honestly, i have opened several tickets and nothing was fixed!!"
C0541,1.0,160,3.0,Occasional hiccups but nothing too abd!!
C2282,2.0,9,2.0,"Billing errors keep happening, I am really tired of this Thank yu. Latency and disconnects make it impossible to work!!"
C5112,1.0,19,4.0,Billing is clear and correct each omnth
C3023,6.0,126,4.0,Service is ookay but could be better Thank you.
C0360,4.0,13,4.0,"Everything works fine for our family Happy with teh internet speed adn support Helpful chat support, fast resolution"
C0552,4.0,13,1.0,"Average experience so far Thank you. Phone line is fine, interent varies Support agent was kind annd solved my issue quickly"
C1791,3.0,163,4.0,Everyhting works fine for our family Thank you.
C3368,,104,5.0,Sometimes the speed drops at night!
C2471,0.0,63,3.0,Good value for the money Thank you.
C4906,2.0,136,1.0,"No issues lately, satsified customer"
C4093,1.0,24,,Occasional hiccups but nothing too bad
C0835,0.0,1,2.0,Occasional hiccups but nothing too bad!
C4393,4.0,66,3.0,"VVery bad support, no one answers my calls Thank you.!"
C4663,3.0,128,3.0,"The new router works well, stable connection It wrks, not amazing, not terrible"
C5389,0.0,85,2.0,Speed never matches what was promised in the contract
C2064,4.0,85,3.0,"Phone line is fine, internet varies"
C0777,1.0,39,3.0,"No issues lately, satiisfied customer"
C4915,5.0,31,5.0,Eail support replies after some days
C2658,3.0,48,2.0,Everything works fine for ouur family!!!
C3184,2.0,168,3.0,"It works, not amazing, not terrible Great srevice and fair price"
C1089,3.0,108,3.0,Email support replies after some days Happy with the inteernet speed and support
C2721,4.0,104,1.0,"Got a minor outage last week Thank you. Phone line is fine, internnet varies"
C1437,2.0,18,4.0,"Great service and fair price It works, not amazing, not terrible"
C2605,,94,4.0,"Service is okay but could be better I have oopened seeral tickets and nothing was fixed Email support replies after some days Billing errors keep happening, I am really tired of this"
C3950,1.0,94,4.0,"Latency and disconnects ake it impossible to work Terrible experience, worst provider I used Thank you.!"
C0554,2.0,125,2.0,"ETRRIBLE EXPERIENCE, WORST PROVIDER I USED"
C2746,1.0,115,,"Good service overall, nothing major to complain about Thank you."
C0145,1.0,95,5.0,Installation took longer than expected Service is okay but colud be better Billing is clear and orrect each month
C4986,2.0,77,1.0,"Helpful chat support, fast resolution!!!"
C4793,2.0,163,5.0,nIternet is slow and unstable almost every evening Latency and disconnects make it impossible to work
C3678,1.0,132,5.0,"No issues altely, satisfied customer Installation took longer than expected"
C3133,2.0,144,,"Billing is clear and correct each month Helpful chat support, fast resolution Thank ou."
C4187,1.0,2,2.0,"Sometimes the speed drops at night Service is okay but could be betetr Honestly, billing is clear and correct each month thank you."
C1905,4.0,145,5.0,GOOD VALUE FOR THE MONEY SUPPORT AGENT WAS KIND AND SOLVED MY ISSUE QUICKLY
