customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Region,Age,Churn
C0056,Female,0,Yes,No,7,South,58.0,No
C0057,Female,0,Yes,Yes,43,West,86.0,No
C0058,Male,1,Yes,No,58,North,36.0,No
C0059,Male,0,Yes,No,46,North,56.0,No
C0060,Male,0,Yes,Yes,34,West,24.0,No
C0061,Male,0,No,No,72,South,56.0,No
C0062,Male,1,Yes,No,22,East,51.0,Yes
C0063,Male,0,No,Yes,21,North,61.0,Yes
C0064,Male,0,Yes,,15,South,86.0,No
C0065,Male,0,Yes,No,5,South,85.0,No
C0066,Female,0,No,Yes,17,South,80.0,No
C0067,Female,1,No,Yes,72,West,88.0,Yes
C0068,Male,0,No,Yes,19,West,65.0,No
C0069,Female,0,No,No,5,East,20.0,Yes
C0070,Female,0,Yes,Yes,23,West,,No
C0071,Female,0,No,No,14,South,26.0,Yes
C0072,Female,1,No,Yes,10,North,,No
C0073,Male,1,Yes,No,31,East,37.0,Yes
C0074,Female,0,No,No,13,East,57.0,No
C0075,Male,1,No,No,22,North,29.0,No
C0076,Female,0,Yes,No,37,East,45.0,No
C0077,Female,0,Yes,No,39,South,65.0,No
C0078,Female,0,Yes,No,10,East,24.0,Yes
C0079,Male,0,,No,31,West,31.0,No
C0080,Female,0,Yes,No,43,East,36.0,No
C0081,Male,1,Yes,No,36,North,71.0,No
C0082,Female,0,Yes,Yes,35,East,77.0,Yes
C0083,Male,1,No,Yes,68,East,84.0,No
C0084,Female,0,No,No,55,North,51.0,No
C0085,Male,1,No,No,68,South,,No
C0086,Male,0,Yes,No,47,West,48.0,No
C0087,Female,0,No,Yes,6,South,56.0,No
C0088,Male,0,No,Yes,28,North,69.0,No
C0089,Female,0,No,No,30,North,64.0,No
C0090,Female,0,Yes,,27,East,37.0,No
C0091,Female,0,Yes,Yes,69,West,69.0,No
C0092,Female,0,No,No,39,East,88.0,Yes
C0093,Female,0,Yes,No,35,South,79.0,No
C0094,Female,0,No,No,44,East,22.0,No
C0095,Female,0,No,No,15,East,74.0,No
C0096,Female,0,No,Yes,32,East,21.0,No
C0097,Female,0,No,No,29,North,28.0,No
C0098,Female,1,No,Yes,63,East,36.0,No
C0099,Female,0,Yes,No,6,South,44.0,No
C0100,Male,1,Yes,No,27,North,46.0,No
C0101,Male,0,Yes,Yes,28,East,35.0,Yes
C0102,Female,1,No,No,5,West,54.0,No
C0103,Female,1,Yes,,41,South,78.0,No
C0104,Female,0,Yes,No,56,West,64.0,No
C0105,Female,0,No,No,54,North,37.0,No
C0106,Female,0,No,,18,East,87.0,Yes
C0107,Female,0,No,Yes,43,North,66.0,No
C0108,Female,0,No,Yes,29,South,32.0,No
C0109,Female,0,No,Yes,10,East,35.0,No
C0110,Male,0,No,Yes,6,East,55.0,Yes
C0111,Female,0,No,No,4,West,39.0,No
C0112,Male,0,No,Yes,34,East,77.0,No
C0113,Female,0,No,No,33,East,83.0,No
C0114,Female,1,No,Yes,4,West,43.0,Yes
C0115,Male,0,No,Yes,44,South,81.0,No
C0116,Female,0,Yes,Yes,31,North,75.0,No
C0117,Male,0,Yes,,66,North,20.0,No
C0118,Female,1,Yes,No,58,South,47.0,No
C0119,Female,1,Yes,No,60,East,36.0,No
C0120,Male,1,Yes,No,2,North,27.0,Yes
C0121,Female,1,Yes,No,36,North,63.0,Yes
C0122,Male,0,Yes,No,70,North,36.0,No
C0123,Female,1,No,Yes,60,East,75.0,Yes
C0124,Male,0,No,No,23,North,23.0,No
C0125,Male,0,Yes,No,47,North,68.0,No
C0126,Female,1,No,No,46,East,31.0,No
C0127,Female,0,No,Yes,44,West,75.0,No
C0128,Male,0,No,,19,South,25.0,Yes
C0129,Female,0,,Yes,49,East,19.0,No
C0130,Female,0,Yes,Yes,58,North,35.0,No
C0131,Female,0,Yes,No,7,West,74.0,Yes
C0132,Male,0,Yes,No,41,South,52.0,No
C0133,Male,0,Yes,,15,West,83.0,Yes
C0134,Male,0,No,No,53,West,73.0,No
C0135,Male,1,Yes,Yes,23,West,60.0,Yes
C0136,Male,0,Yes,Yes,65,North,90.0,No
C0137,Male,0,Yes,No,60,East,89.0,No
C0138,Male,1,Yes,No,10,North,25.0,Yes
C0139,Male,1,No,No,58,West,22.0,Yes
C0140,Male,0,No,Yes,47,West,30.0,No
C0141,Female,0,Yes,No,15,West,24.0,No
C0142,Male,1,,No,9,East,38.0,Yes
C0143,Female,1,Yes,Yes,13,East,54.0,No
C0144,Female,0,Yes,No,23,East,62.0,Yes
C0145,Female,0,No,No,33,South,69.0,No
C0146,Male,0,Yes,No,9,South,65.0,Yes
C0147,Male,0,No,No,3,East,79.0,Yes
C0148,Male,0,No,Yes,25,West,,Yes
C0149,Male,0,Yes,No,71,East,21.0,No
C0150,Female,0,Yes,Yes,36,West,73.0,No
C0151,Male,0,No,Yes,20,West,51.0,No
C0152,Male,0,No,No,54,East,62.0,No
C0153,Male,1,No,No,19,South,33.0,Yes
C0154,Male,0,No,No,60,East,26.0,No
C0155,Male,0,No,No,37,South,33.0,No
C0156,Female,1,Yes,No,3,North,48.0,No
C0157,Male,0,No,Yes,19,South,30.0,No
C0158,Female,0,Yes,Yes,53,West,22.0,No
C0159,Male,0,No,No,46,North,64.0,Yes
C0160,Female,0,No,Yes,56,East,56.0,No
C0161,Male,1,No,Yes,70,West,35.0,Yes
C0162,Male,0,Yes,No,31,East,37.0,Yes
C0163,Female,0,Yes,Yes,53,East,19.0,Yes
C0164,Female,0,,No,34,East,57.0,No
C0165,Female,0,No,No,31,South,47.0,No
C0166,Male,1,No,No,60,North,27.0,No
C0167,Female,0,No,No,11,West,81.0,No
C0168,Male,0,No,No,6,South,59.0,No
C0169,Male,0,Yes,Yes,27,East,70.0,No
C0170,Female,0,Yes,Yes,7,East,70.0,Yes
C0171,Female,0,Yes,No,49,North,57.0,No
C0172,Male,0,No,Yes,72,West,33.0,No
C0173,Male,0,No,Yes,60,West,65.0,No
C0174,Female,0,No,,33,North,78.0,No
C0175,Female,0,Yes,No,47,West,,No
C0176,Female,0,Yes,No,44,East,61.0,No
C0177,Male,0,Yes,Yes,27,South,32.0,No
C0178,Male,1,No,No,22,East,78.0,Yes
C0179,Male,0,Yes,No,47,North,24.0,No
C0180,Male,0,Yes,Yes,48,East,47.0,No
C0181,Male,0,Yes,Yes,30,North,53.0,No
C0182,Male,0,No,No,2,East,,No
C0183,Female,0,Yes,No,15,East,87.0,Yes
C0184,Male,0,No,No,47,West,46.0,No
C0185,Male,0,No,Yes,27,East,23.0,No
C0186,Male,0,No,No,71,North,68.0,No
C0187,Female,1,No,No,27,West,,No
C0188,Male,0,Yes,Yes,13,East,90.0,No
C0189,Male,0,Yes,Yes,55,East,39.0,No
C0190,Female,0,No,Yes,17,North,71.0,Yes
C0191,Male,0,No,No,59,West,57.0,Yes
C0192,Male,0,No,No,10,West,24.0,No
C0193,Male,1,No,No,33,West,57.0,No
C0194,Male,0,Yes,,37,West,41.0,No
C0195,Male,0,Yes,No,8,South,58.0,No
C0196,Female,0,No,No,33,West,68.0,No
C0197,Female,0,Yes,,7,South,,Yes
C0198,Female,0,Yes,Yes,34,North,60.0,No
C0199,Male,0,No,No,71,East,86.0,No
C0200,Male,0,Yes,Yes,7,East,76.0,No
C0201,Male,0,Yes,No,41,South,42.0,Yes
C0202,Female,0,No,Yes,55,North,42.0,No
C0203,Male,0,No,,7,North,90.0,No
C0204,Male,0,Yes,No,18,South,41.0,No
C0205,Female,0,No,No,43,North,79.0,No
C0206,Male,0,No,No,40,North,60.0,No
C0207,Female,0,Yes,No,53,South,76.0,No
C0208,Female,0,Yes,Yes,14,West,71.0,No
C0209,Female,1,Yes,Yes,21,West,43.0,Yes
C0210,Male,0,No,No,57,South,71.0,No
C0211,Male,0,Yes,Yes,46,West,78.0,No
C0212,Male,0,No,Yes,26,East,61.0,Yes
C0213,Male,0,No,No,24,South,26.0,No
C0214,Male,0,No,Yes,5,South,59.0,Yes
C0215,Male,0,No,No,42,South,46.0,Yes
C0216,Male,1,No,No,43,North,75.0,No
C0217,Female,0,Yes,No,32,South,80.0,No
C0218,Male,0,Yes,No,6,East,66.0,No
C0219,Female,0,,Yes,67,East,28.0,No
C0220,Male,0,Yes,No,7,West,71.0,Yes
C0221,Male,0,Yes,Yes,29,South,47.0,Yes
C0222,Male,0,No,Yes,34,East,83.0,No
C0223,Female,0,No,No,7,East,82.0,No
C0224,Female,1,Yes,Yes,58,West,75.0,No
C0225,Female,0,,No,31,South,74.0,No
C0226,Female,0,Yes,No,45,West,54.0,No
C0227,Male,0,No,No,47,West,71.0,No
C0228,Female,0,Yes,No,72,East,90.0,No
C0229,Male,0,No,Yes,40,East,86.0,No
C0230,Male,0,Yes,No,30,North,41.0,No
C0231,Female,0,No,Yes,62,West,80.0,No
C0232,Female,0,Yes,No,71,North,68.0,No
C0233,Female,0,Yes,Yes,17,East,32.0,Yes
C0234,Female,0,No,Yes,5,South,64.0,No
C0235,Female,0,Yes,No,1,South,90.0,No
C0236,Female,0,Yes,No,31,East,63.0,No
C0237,Female,0,Yes,No,35,West,47.0,No
C0238,Female,0,No,,72,South,37.0,Yes
C0239,Male,0,No,No,30,West,74.0,No
C0240,Female,0,Yes,No,15,East,66.0,No
C0241,Female,1,No,No,56,North,73.0,Yes
C0242,Male,0,Yes,Yes,60,North,73.0,No
C0243,Female,0,No,No,27,East,42.0,No
C0244,Male,0,Yes,No,2,North,26.0,No
C0245,Male,0,No,Yes,64,South,39.0,No
C0246,Female,0,Yes,Yes,5,North,,Yes
C0247,Male,1,No,Yes,68,South,45.0,No
C0248,Male,0,Yes,No,13,East,31.0,No
C0249,Male,0,Yes,No,23,South,47.0,Yes
C0250,Male,0,Yes,Yes,50,North,56.0,No
C0251,Female,0,No,No,37,South,74.0,No
C0252,Male,0,No,No,30,South,22.0,No
C0253,Female,0,No,Yes,23,North,29.0,Yes
C0254,Male,0,No,Yes,34,East,,Yes
C0255,Male,0,No,Yes,64,East,58.0,No
C0256,Male,0,No,No,55,North,80.0,No
C0257,Male,0,Yes,No,71,South,59.0,No
C0258,Female,1,No,No,9,South,82.0,No
C0259,Female,0,Yes,No,4,South,82.0,No
C0260,Male,1,No,No,66,East,60.0,Yes
C0261,Male,0,No,Yes,33,South,77.0,No
C0262,Female,1,No,No,32,South,37.0,No
C0263,Male,0,,Yes,44,West,80.0,No
C0264,Male,0,No,No,37,North,41.0,No
C0265,Male,0,No,Yes,67,East,89.0,No
C0266,Female,0,Yes,No,60,East,52.0,No
C0267,Female,0,Yes,Yes,59,South,58.0,No
C0268,Female,0,,No,36,East,33.0,No
C0269,Male,0,No,Yes,49,East,23.0,No
C0270,Male,0,Yes,No,51,South,37.0,No
C0271,Female,1,Yes,Yes,8,East,73.0,Yes
C0272,Female,1,Yes,No,50,West,25.0,No
C0273,Female,1,Yes,No,41,West,23.0,No
C0274,Female,0,No,Yes,38,East,,No
C0275,Male,0,No,,55,West,,No
C0276,Female,0,,No,68,North,31.0,No
C0277,Male,0,No,No,18,East,20.0,No
C0278,Female,0,No,No,65,North,19.0,No
C0279,Male,0,Yes,Yes,64,North,39.0,No
C0280,Female,0,Yes,No,12,East,87.0,Yes
C0281,Female,0,No,Yes,41,East,88.0,Yes
C0282,Female,1,Yes,Yes,42,South,23.0,No
C0283,Female,0,Yes,No,60,East,67.0,No
C0284,Male,1,Yes,No,50,South,61.0,No
C0285,Female,0,Yes,Yes,36,South,25.0,No
C0286,Male,0,Yes,Yes,48,South,41.0,No
C0287,Male,0,No,No,71,South,44.0,No
C0288,Male,0,Yes,Yes,8,South,70.0,No
C0289,Male,0,No,No,25,East,68.0,No
C0290,Female,0,Yes,No,7,North,45.0,Yes
C0291,Male,0,No,Yes,8,North,76.0,No
C0292,Male,0,No,No,31,East,86.0,No
C0293,Male,0,No,No,12,East,90.0,Yes
C0294,Female,1,No,No,57,South,42.0,No
C0295,Female,0,,,66,North,61.0,Yes
C0296,Female,0,Yes,No,12,South,64.0,No
C0297,Female,0,Yes,No,27,West,30.0,Yes
C0298,Male,0,Yes,No,46,West,,No
C0299,Male,0,Yes,Yes,7,East,70.0,No
C0300,Female,0,No,No,61,North,54.0,No
C0301,Male,1,No,No,58,East,80.0,No
C0302,Male,0,No,No,58,North,83.0,No
C0303,Male,1,No,Yes,13,South,57.0,No
C0304,Female,1,No,No,53,North,78.0,Yes
C0305,Female,0,No,Yes,65,West,23.0,No
C0306,Male,0,No,No,49,East,42.0,No
C0307,Female,1,Yes,No,35,East,63.0,No
C0308,Female,0,Yes,No,17,East,48.0,No
C0309,Female,0,No,No,72,North,80.0,Yes
C0310,Female,1,No,No,67,South,,Yes
C0311,Female,0,No,Yes,10,East,56.0,Yes
C0312,Male,0,Yes,No,34,East,53.0,No
C0313,Female,0,,,4,West,24.0,No
C0314,Male,0,Yes,No,29,South,83.0,No
C0315,Male,0,Yes,Yes,46,West,72.0,No
C0316,Female,0,Yes,,46,South,89.0,No
C0317,Male,0,No,No,59,East,59.0,No
C0318,Male,0,Yes,No,61,South,44.0,No
C0319,Male,0,Yes,No,68,West,19.0,No
C0320,Female,0,Yes,No,66,North,87.0,No
C0321,Female,0,No,Yes,34,East,21.0,No
C0322,Male,0,No,No,5,East,38.0,No
C0323,Female,0,No,No,9,North,,No
C0324,Female,0,Yes,Yes,20,North,55.0,No
C0325,Female,0,No,,21,West,77.0,No
C0326,Female,1,No,,17,North,31.0,Yes
C0327,Male,0,No,Yes,12,North,,Yes
C0328,Male,0,Yes,,67,West,90.0,No
C0329,Female,0,No,Yes,5,East,64.0,No
C0330,Female,0,No,No,60,South,73.0,No
C0331,Male,0,Yes,Yes,53,East,70.0,No
C0332,Male,0,Yes,Yes,52,East,35.0,Yes
C0333,Female,0,Yes,No,48,West,86.0,No
C0334,Male,0,No,No,19,East,,No
C0335,Female,0,Yes,Yes,17,West,26.0,No
C0336,Female,0,Yes,No,54,North,71.0,No
C0337,Male,0,Yes,Yes,68,East,52.0,No
C0338,Male,0,No,Yes,35,North,63.0,No
C0339,Female,0,No,Yes,41,North,18.0,No
C0340,Female,0,No,No,13,East,58.0,No
C0341,Male,0,No,No,33,North,90.0,No
C0342,Female,0,Yes,No,15,East,49.0,Yes
C0343,Male,0,No,,63,West,57.0,No
C0344,Female,0,No,No,15,South,28.0,No
C0345,Male,0,Yes,No,31,North,79.0,Yes
C0346,Male,0,No,No,28,East,63.0,Yes
C0347,Male,0,No,Yes,10,West,65.0,No
C0348,Female,1,No,Yes,57,East,60.0,No
C0349,Female,0,Yes,No,71,East,68.0,No
C0350,Male,0,No,No,33,North,78.0,No
C0351,Female,0,No,No,7,North,59.0,Yes
C0352,Male,0,Yes,No,5,East,43.0,No
C0353,Male,0,Yes,No,57,North,28.0,No
C0354,Female,0,Yes,No,72,West,42.0,No
C0355,Female,0,,Yes,40,South,57.0,No
C0356,Male,1,No,No,28,East,42.0,No
C0357,Female,0,Yes,No,36,West,69.0,No
C0358,Female,1,Yes,,56,West,20.0,No
C0359,Male,0,,No,47,East,56.0,No
C0360,Male,0,No,Yes,71,West,52.0,No
C0361,Female,0,Yes,No,40,West,57.0,No
C0362,Male,0,No,No,59,West,39.0,No
C0363,Male,0,No,No,43,West,79.0,Yes
C0364,Female,0,No,No,66,East,36.0,No
C0365,Male,0,Yes,Yes,9,East,31.0,Yes
C0366,Male,0,Yes,Yes,6,North,67.0,Yes
C0367,Female,0,No,Yes,65,South,79.0,No
C0368,Female,1,Yes,No,3,North,60.0,No
C0369,Male,0,Yes,No,37,North,72.0,No
C0370,Male,0,No,No,33,South,57.0,No
C0371,Female,1,Yes,Yes,9,North,29.0,No
C0372,Female,0,Yes,Yes,53,West,82.0,No
C0373,Female,0,Yes,No,51,West,51.0,No
C0374,Female,0,Yes,No,71,North,40.0,No
C0375,Male,1,No,,26,North,,No
C0376,Female,0,Yes,No,16,West,24.0,No
C0377,Female,0,Yes,No,40,West,82.0,No
C0378,Male,0,No,Yes,51,West,35.0,No
C0379,Female,0,Yes,No,39,West,25.0,No
C0380,Male,0,Yes,Yes,55,West,59.0,No
C0381,Female,0,Yes,No,36,South,18.0,No
C0382,Female,0,Yes,No,65,South,32.0,No
C0383,Female,0,Yes,No,45,West,45.0,No
C0384,Male,1,Yes,Yes,9,South,53.0,No
C0385,Male,0,No,,37,West,63.0,No
C0386,Female,0,Yes,No,1,East,38.0,Yes
C0387,Male,0,No,Yes,66,West,66.0,No
C0388,Male,0,No,Yes,63,South,56.0,No
C0389,Male,1,No,No,43,East,55.0,No
C0390,Male,0,Yes,No,28,East,26.0,No
C0391,Male,0,Yes,,31,West,37.0,Yes
C0392,Male,0,No,Yes,69,South,25.0,No
C0393,Female,0,No,No,8,West,31.0,No
C0394,Female,0,No,,34,West,79.0,No
C0395,Male,0,Yes,No,49,East,,No
C0396,Female,0,No,No,58,West,72.0,No
C0397,Female,1,Yes,No,47,East,62.0,No
C0398,Female,0,Yes,No,25,North,38.0,No
C0399,Female,0,Yes,Yes,3,North,70.0,Yes
C0400,Male,0,Yes,Yes,45,West,71.0,No
C0401,Female,0,No,No,52,East,60.0,No
C0402,Female,0,No,Yes,34,North,23.0,No
C0403,Male,0,No,No,69,East,72.0,No
C0404,Male,0,No,Yes,8,South,61.0,No
C0405,Female,1,No,No,27,North,85.0,No
C0406,Female,0,No,No,63,East,21.0,No
C0407,Female,0,Yes,Yes,25,South,80.0,No
C0408,Female,0,No,No,58,North,75.0,No
C0409,Female,0,Yes,Yes,48,South,71.0,No
C0410,Female,0,Yes,Yes,1,East,55.0,Yes
C0411,Male,0,Yes,No,8,North,77.0,Yes
C0412,Female,1,Yes,No,21,South,69.0,No
C0413,Female,1,No,No,29,South,46.0,Yes
C0414,Male,1,No,No,30,North,57.0,Yes
C0415,Male,0,Yes,,3,North,88.0,No
C0416,Male,0,No,No,7,North,25.0,No
C0417,Male,0,No,No,11,North,52.0,Yes
C0418,Female,1,No,Yes,32,West,33.0,No
C0419,Female,0,No,No,59,South,35.0,No
C0420,Female,1,Yes,No,12,North,76.0,No
C0421,Female,0,No,Yes,38,North,51.0,No
C0422,Female,0,No,Yes,24,South,21.0,Yes
C0423,Female,0,No,Yes,65,West,86.0,No
C0424,Male,0,No,No,18,South,82.0,Yes
C0425,Female,0,No,No,46,North,,No
C0426,Male,0,No,Yes,56,South,63.0,No
C0427,Male,0,Yes,Yes,63,East,38.0,No
C0428,Female,0,,No,7,North,55.0,No
C0429,Male,0,Yes,,66,East,90.0,No
C0430,Female,0,Yes,,40,South,77.0,No
C0431,Male,0,Yes,No,54,North,53.0,No
C0432,Female,0,No,No,31,East,23.0,Yes
C0433,Male,0,No,No,52,East,56.0,No
C0434,Female,0,No,No,31,East,46.0,Yes
C0435,Female,0,No,No,34,South,44.0,No
C0436,Female,0,No,Yes,7,East,86.0,No
C0437,Female,0,No,Yes,16,South,26.0,No
C0438,Female,0,No,No,22,East,41.0,No
C0439,Male,1,No,Yes,53,East,,No
C0440,Male,0,Yes,Yes,17,North,36.0,No
C0441,Male,0,Yes,No,4,East,47.0,Yes
C0442,Female,0,Yes,Yes,61,East,75.0,Yes
C0443,Male,1,No,Yes,52,South,57.0,No
C0444,Female,0,No,No,35,West,85.0,No
C0445,Female,0,No,No,44,West,49.0,No
C0446,Male,1,,Yes,15,North,82.0,Yes
C0447,Male,0,No,No,61,West,51.0,Yes
C0448,Female,0,No,Yes,44,South,48.0,No
C0449,Male,0,Yes,No,21,East,76.0,No
C0450,Female,1,No,Yes,47,West,43.0,Yes
C0451,Female,0,No,No,49,East,39.0,No
C0452,Female,0,No,,53,South,51.0,No
C0453,Female,0,No,Yes,27,West,30.0,No
C0454,Female,0,Yes,,31,North,72.0,No
C0455,Male,0,Yes,No,44,South,25.0,No
C0456,Male,1,Yes,No,32,South,79.0,Yes
C0457,Female,1,No,Yes,30,West,39.0,Yes
C0458,Female,0,Yes,No,18,West,73.0,No
C0459,Male,0,No,Yes,63,North,38.0,No
C0460,Male,0,,No,16,West,,No
C0461,Female,0,No,Yes,35,South,23.0,Yes
C0462,Male,0,Yes,No,62,West,52.0,No
C0463,Female,0,No,No,9,East,44.0,No
C0464,Male,0,No,No,62,North,57.0,No
C0465,Female,0,No,Yes,39,North,31.0,Yes
C0466,Male,1,Yes,Yes,51,North,69.0,No
C0467,Female,0,Yes,No,10,North,57.0,Yes
C0468,Male,1,No,Yes,52,West,60.0,Yes
C0469,Male,0,Yes,No,12,North,75.0,No
C0470,Female,0,Yes,Yes,72,West,20.0,No
C0471,Male,0,Yes,Yes,62,East,,No
C0472,Female,1,No,Yes,3,East,62.0,No
C0473,Male,0,No,No,11,North,,No
C0474,Female,0,Yes,No,8,West,56.0,No
C0475,Male,0,Yes,No,23,East,36.0,Yes
C0476,Female,0,No,Yes,10,West,37.0,Yes
C0477,Male,0,No,No,18,West,88.0,No
C0478,Female,0,Yes,,39,North,73.0,No
C0479,Male,0,,,26,North,21.0,No
C0480,Female,0,No,Yes,11,West,26.0,No
C0481,Female,0,No,No,10,West,42.0,No
C0482,Female,0,No,No,3,East,64.0,Yes
C0483,Male,0,No,No,62,South,66.0,No
C0484,Female,0,Yes,Yes,71,East,44.0,No
C0485,Male,1,,,61,South,45.0,No
C0486,Female,0,Yes,Yes,4,North,79.0,No
C0487,Male,0,No,No,61,South,33.0,Yes
C0488,Female,0,Yes,,8,North,63.0,No
C0489,Male,0,No,No,13,South,63.0,No
C0490,Male,0,No,No,12,West,57.0,Yes
C0491,Female,0,Yes,No,35,West,51.0,No
C0492,Male,0,No,,54,West,,No
C0493,Male,1,Yes,,51,West,18.0,No
C0494,Female,0,Yes,No,43,South,,No
C0495,Male,0,Yes,No,66,West,,No
C0496,Male,0,Yes,No,15,West,64.0,No
C0497,Male,0,Yes,No,49,West,41.0,Yes
C0498,Female,0,No,Yes,34,East,67.0,No
C0499,Male,0,Yes,No,39,North,,No
C0500,Female,0,Yes,Yes,26,North,89.0,No
C0501,Male,0,Yes,Yes,69,North,30.0,No
C0502,Male,0,No,Yes,48,West,81.0,No
C0503,Male,0,No,Yes,51,South,45.0,No
C0504,Female,0,No,No,4,West,22.0,No
C0505,Male,0,No,No,27,South,26.0,No
C0506,Male,1,No,No,42,East,31.0,No
C0507,Female,0,No,No,56,North,27.0,No
C0508,Male,0,,Yes,69,North,50.0,No
C0509,Female,1,,Yes,18,South,57.0,No
C0510,Female,0,No,No,61,East,23.0,No
C0511,Male,0,No,No,4,North,34.0,No
C0512,Female,0,No,Yes,1,West,53.0,No
C0513,Male,0,No,No,50,South,87.0,Yes
C0514,Female,0,No,No,70,West,78.0,No
C0515,Female,0,No,No,20,North,66.0,No
C0516,Male,0,Yes,No,20,East,86.0,No
C0517,Female,0,Yes,No,46,South,,No
C0518,Female,1,Yes,No,27,West,41.0,No
C0519,Female,0,No,No,26,South,68.0,No
C0520,Female,0,No,Yes,32,East,59.0,No
C0521,Female,1,No,No,10,West,36.0,Yes
C0522,Male,0,No,No,12,North,79.0,No
C0523,Female,1,No,Yes,24,North,84.0,Yes
C0524,Male,0,No,Yes,51,West,47.0,Yes
C0525,Female,0,No,No,38,East,55.0,Yes
C0526,Male,0,No,No,46,South,23.0,No
C0527,Male,0,No,No,8,South,39.0,Yes
C0528,Female,0,Yes,Yes,55,North,28.0,No
C0529,Female,1,No,No,31,North,89.0,No
C0530,Female,0,Yes,No,16,South,46.0,No
C0531,Male,0,Yes,Yes,20,West,25.0,Yes
C0532,Female,1,No,No,38,South,52.0,Yes
C0533,Male,0,No,Yes,15,East,89.0,No
C0534,Male,0,No,Yes,34,West,89.0,No
C0535,Male,1,Yes,No,72,South,62.0,Yes
C0536,Female,0,,No,19,East,50.0,No
C0537,Female,0,Yes,Yes,69,West,22.0,No
C0538,Male,1,Yes,No,63,North,79.0,No
C0539,Male,0,Yes,Yes,32,South,54.0,No
C0540,Female,0,Yes,Yes,37,West,,No
C0541,Male,0,Yes,No,66,West,39.0,No
C0542,Female,0,Yes,No,7,North,49.0,No
C0543,Male,1,Yes,Yes,48,North,31.0,No
C0544,Female,0,No,No,11,South,37.0,Yes
C0545,Male,0,Yes,Yes,31,South,39.0,No
C0546,Female,0,No,No,44,South,47.0,No
C0547,Male,0,No,No,45,East,71.0,Yes
C0548,Female,0,No,No,72,West,,No
C0549,Female,1,No,Yes,56,South,22.0,No
C0550,Male,0,No,No,32,West,35.0,Yes
C0551,Male,0,No,No,21,North,80.0,No
C0552,Female,0,Yes,No,31,North,,No
C0553,Male,0,No,No,1,East,24.0,No
C0554,Female,0,No,No,11,North,46.0,Yes
C0555,Male,0,Yes,No,68,South,74.0,No
C0556,Female,0,Yes,No,36,West,64.0,Yes
C0557,Female,0,Yes,No,59,North,26.0,No
C0558,Female,0,No,No,67,East,76.0,No
C0559,Female,0,Yes,No,56,South,88.0,No
C0560,Female,0,No,,51,North,88.0,Yes
C0561,Female,0,Yes,No,29,East,60.0,No
C0562,Male,1,No,No,2,West,76.0,No
