customerID,ContractType,MonthlyCharges,TotalCharges,PaymentMethod,InternetService
C3101,Month-to-month,88.66,65.44,Mailed check,DSL
C0646,One year,45.28,2163.93,Electronic check,Fiber optic
C4523,Month-to-month,97.54,2574.42,Electronic check,DSL
C2402,Month-to-month,104.69,3841.13,Electronic check,DSL
C5150,Month-to-month,89.89,3888.23,Electronic check,Fiber optic
C5067,Month-to-month,50.09,1763.08,Bank transfer,Fiber optic
C2963,Month-to-month,63.99,1338.35,Electronic check,Fiber optic
C4730,Month-to-month,71.77,226.24,Electronic check,None
C1576,Two year,35.98,1715.79,Electronic check,DSL
C0570,Month-to-month,69.74,781.44,Electronic check,DSL
C0376,Month-to-month,37.73,291.17,Credit card,DSL
C1867,Month-to-month,74.94,4438.33,Bank transfer,Fiber optic
C2371,One year,25.59,1213.27,Credit card,Fiber optic
C0654,One year,124.34,1072.27,Credit card,Fiber optic
C1908,Two year,47.1,1486.94,Electronic check,Fiber optic
C0828,Month-to-month,71.37,2437.47,Bank transfer,Fiber optic
C3114,Month-to-month,23.6,133.86,Mailed check,Fiber optic
C2278,Month-to-month,41.2,1621.98,Credit card,Fiber optic
C3715,Month-to-month,96.26,8186.0,Credit card,None
C5208,One year,32.3,470.65,Bank transfer,DSL
C2989,One year,89.1,4641.37,Bank transfer,DSL
C1333,Month-to-month,20.23,1118.71,Credit card,
C3033,Two year,71.15,51.94,Credit card,Fiber optic
C2911,Two year,99.35,2216.78,Bank transfer,
C1717,Two year,121.89,,Electronic check,Fiber optic
C2188,Month-to-month,74.21,1310.61,Electronic check,DSL
C5309,Month-to-month,112.46,1403.43,Bank transfer,DSL
C0585,Month-to-month,108.29,2576.49,Electronic check,Fiber optic
C4991,Month-to-month,52.53,2480.54,Electronic check,None
C5202,Month-to-month,116.22,3232.62,Electronic check,Fiber optic
C1402,Two year,90.43,2870.91,Electronic check,Fiber optic
C4376,Month-to-month,31.46,664.32,Credit card,DSL
C2006,One year,123.3,148.97,Electronic check,Fiber optic
C1339,One year,39.43,1284.43,Credit card,
C3787,Month-to-month,71.74,879.06,Electronic check,DSL
C3109,Month-to-month,71.3,1302.03,Credit card,DSL
C2212,One year,88.78,,Credit card,Fiber optic
C5243,One year,93.15,2205.04,Credit card,DSL
C4563,Two year,45.62,,Credit card,DSL
C1800,Two year,58.77,3195.52,Electronic check,Fiber optic
C2657,Two year,35.9,1120.71,Mailed check,Fiber optic
C0459,One year,33.86,1129.26,Electronic check,DSL
C1877,Month-to-month,110.76,2695.41,Mailed check,
C0263,Two year,102.58,4128.81,Electronic check,Fiber optic
C2585,Two year,68.7,1004.44,Electronic check,Fiber optic
C3287,Month-to-month,30.55,,Credit card,Fiber optic
C2194,Month-to-month,69.49,6037.97,Credit card,DSL
C0543,Month-to-month,52.39,3578.46,Electronic check,DSL
C1729,Two year,105.57,1128.08,Credit card,DSL
C4647,Month-to-month,30.63,834.58,Electronic check,Fiber optic
C2578,One year,69.65,3111.29,Electronic check,DSL
C1742,Two year,85.05,1289.49,Credit card,Fiber optic
C4090,One year,128.43,3496.63,Electronic check,Fiber optic
C3242,One year,29.86,208.44,Electronic check,None
C5267,Two year,32.54,2870.51,Mailed check,Fiber optic
C3759,Month-to-month,128.69,4922.13,Bank transfer,DSL
C1171,Month-to-month,64.62,3024.68,Electronic check,None
C2170,Month-to-month,101.81,4754.63,Bank transfer,Fiber optic
C5461,Month-to-month,106.18,4261.2,Credit card,Fiber optic
C2021,Month-to-month,54.6,4037.95,Credit card,DSL
C4599,Month-to-month,43.57,1096.53,Credit card,None
C4416,One year,50.37,918.11,Credit card,DSL
C2153,Month-to-month,104.08,4312.97,Electronic check,DSL
C4789,One year,112.45,7353.56,Electronic check,DSL
C3510,Month-to-month,96.95,,Bank transfer,Fiber optic
C4781,Month-to-month,68.54,2827.74,Bank transfer,Fiber optic
C3272,Month-to-month,48.88,2405.24,Electronic check,None
C2966,Month-to-month,66.78,119.54,Mailed check,DSL
C1797,Month-to-month,120.6,2355.23,Electronic check,DSL
C1134,Month-to-month,114.95,6576.11,Electronic check,
C4175,One year,55.57,3576.04,Electronic check,DSL
C4043,Month-to-month,56.07,986.61,Credit card,
C0745,Month-to-month,105.8,,Electronic check,DSL
C0386,Month-to-month,66.92,1901.25,Mailed check,Fiber optic
C0899,Two year,83.0,1182.23,Mailed check,Fiber optic
C1253,Month-to-month,66.45,3042.52,Electronic check,DSL
C5141,Month-to-month,46.66,929.92,Electronic check,DSL
C1311,Month-to-month,40.77,2635.21,Electronic check,DSL
C3459,One year,35.35,1903.13,Electronic check,Fiber optic
C4886,Month-to-month,21.26,225.17,Bank transfer,Fiber optic
C0521,Month-to-month,50.87,435.77,Credit card,Fiber optic
C3153,One year,38.85,1193.98,Electronic check,None
C3127,One year,48.37,3197.06,Mailed check,
C4882,Month-to-month,28.34,2287.42,Mailed check,DSL
C3835,Month-to-month,57.57,1533.02,Bank transfer,Fiber optic
C4335,Two year,77.2,2087.49,Bank transfer,Fiber optic
C2060,Month-to-month,123.9,,Bank transfer,Fiber optic
C4533,Month-to-month,58.18,,Electronic check,None
C0095,Month-to-month,23.41,1353.28,Credit card,Fiber optic
C0939,Two year,59.86,439.53,Bank transfer,Fiber optic
C4399,Month-to-month,109.89,7844.94,Electronic check,DSL
C2186,Month-to-month,57.42,2619.42,Bank transfer,DSL
C5251,Month-to-month,52.09,643.5,Electronic check,Fiber optic
C2787,Month-to-month,121.09,4468.48,Credit card,Fiber optic
C0914,Two year,52.7,,Bank transfer,Fiber optic
C2405,Month-to-month,126.73,5048.84,Electronic check,
C3562,Month-to-month,111.59,99.33,Electronic check,
C1296,Month-to-month,95.27,708.88,Credit card,None
C3717,One year,85.82,1836.91,Credit card,Fiber optic
C0027,Month-to-month,44.73,1140.3,Credit card,DSL
C2158,One year,100.34,2079.52,Bank transfer,DSL
C4101,Month-to-month,58.19,4395.57,Electronic check,Fiber optic
C1464,One year,73.42,1455.67,Electronic check,None
C4159,Month-to-month,31.45,,Electronic check,Fiber optic
C0872,Month-to-month,52.58,1112.22,Mailed check,Fiber optic
C5123,Month-to-month,78.2,,Bank transfer,Fiber optic
C2445,Month-to-month,71.48,,Credit card,Fiber optic
C5235,Two year,57.79,3642.51,Electronic check,Fiber optic
C5315,Month-to-month,71.91,3585.26,Credit card,Fiber optic
C4989,Two year,101.94,5652.07,Electronic check,Fiber optic
C1630,Month-to-month,70.53,1779.73,Bank transfer,Fiber optic
C5343,Month-to-month,75.68,63.41,Electronic check,
C3064,Month-to-month,97.13,72.15,Credit card,None
C1324,Month-to-month,112.58,6286.06,Electronic check,
C4419,Month-to-month,77.96,3037.16,Bank transfer,Fiber optic
C4345,Month-to-month,124.3,7785.71,Electronic check,
C0005,Two year,58.88,,Electronic check,Fiber optic
C4907,One year,47.78,549.35,Electronic check,None
C2656,Month-to-month,96.24,819.36,Bank transfer,Fiber optic
C4003,One year,39.33,2278.01,Electronic check,DSL
C0160,Month-to-month,119.0,2822.22,Electronic check,Fiber optic
C0917,Two year,62.52,542.3,Bank transfer,Fiber optic
C2974,Month-to-month,96.8,4479.18,Electronic check,Fiber optic
C2520,Month-to-month,82.72,3491.46,Bank transfer,None
C1962,Two year,25.98,172.15,Electronic check,Fiber optic
C0475,Month-to-month,98.0,4927.52,Mailed check,DSL
C1974,One year,106.9,7372.69,Credit card,DSL
C4648,Two year,128.07,915.64,Bank transfer,DSL
C5417,Two year,65.77,176.34,Mailed check,DSL
C0702,Two year,75.32,986.09,Credit card,Fiber optic
C3982,Month-to-month,116.24,,Electronic check,None
C0567,One year,49.61,285.08,Electronic check,Fiber optic
C4364,Month-to-month,40.81,1832.58,Electronic check,DSL
C1031,Two year,34.62,1843.66,Electronic check,Fiber optic
C1052,Month-to-month,127.61,2468.64,Credit card,Fiber optic
C3894,Month-to-month,49.74,,Bank transfer,Fiber optic
C4504,Two year,103.31,457.41,Credit card,None
C1353,Two year,69.46,,Bank transfer,None
C2172,Two year,46.46,3241.25,Credit card,DSL
C4323,Month-to-month,120.47,9132.62,Electronic check,None
C4970,Month-to-month,71.02,3424.77,Bank transfer,
C3467,Two year,82.26,2174.06,Bank transfer,Fiber optic
C1736,Month-to-month,44.47,1351.06,Credit card,Fiber optic
C4418,Two year,55.66,136.12,Credit card,Fiber optic
C1648,One year,102.25,6911.94,Electronic check,Fiber optic
C2554,Two year,57.73,2250.11,Electronic check,Fiber optic
C3269,One year,75.66,2147.88,Electronic check,None
C3060,Two year,32.58,1038.92,Credit card,None
C3589,Month-to-month,113.51,3635.95,Electronic check,DSL
C4240,Two year,101.13,3750.77,Electronic check,None
C3699,Month-to-month,103.68,,Credit card,Fiber optic
C0992,Month-to-month,39.6,640.33,Electronic check,None
C2031,Month-to-month,74.47,3618.51,Electronic check,Fiber optic
C1841,One year,23.03,1337.99,Credit card,None
C0525,One year,54.66,1584.41,Mailed check,
C2770,Month-to-month,58.28,2200.16,Electronic check,None
C0173,One year,120.51,2567.35,Credit card,DSL
C4820,Two year,129.21,8552.81,Electronic check,None
C4538,One year,87.95,6079.26,Electronic check,None
C1886,Month-to-month,76.84,3956.46,Electronic check,DSL
C4821,One year,68.41,652.78,Credit card,None
C1805,Two year,22.01,323.04,Mailed check,Fiber optic
C0059,Two year,108.01,5014.9,Electronic check,None
C0582,Month-to-month,93.9,5517.07,Credit card,DSL
C5170,Month-to-month,91.42,3890.56,Electronic check,Fiber optic
C0483,Month-to-month,108.99,825.55,Mailed check,Fiber optic
C1876,Month-to-month,122.09,2931.38,Electronic check,DSL
C0553,Month-to-month,62.85,39.92,Credit card,Fiber optic
C0258,Month-to-month,66.9,,Electronic check,Fiber optic
C2707,One year,127.27,10149.57,Mailed check,None
C0581,Month-to-month,93.09,2034.63,Electronic check,Fiber optic
C4212,Month-to-month,113.65,2738.27,Electronic check,DSL
C1950,Month-to-month,44.37,711.34,Credit card,DSL
C2282,Month-to-month,54.88,,Credit card,DSL
C3977,Two year,63.08,1598.96,Mailed check,DSL
C1756,Month-to-month,54.86,49.14,Electronic check,Fiber optic
C5275,One year,117.27,585.17,Electronic check,None
C1084,Month-to-month,76.27,,Credit card,Fiber optic
C4678,One year,124.9,4777.66,Electronic check,Fiber optic
C4721,Month-to-month,55.35,587.1,Credit card,DSL
C3873,Month-to-month,24.1,976.17,Electronic check,Fiber optic
C1991,One year,35.19,1591.19,Credit card,Fiber optic
C3875,Month-to-month,43.88,268.76,Bank transfer,Fiber optic
C3335,Month-to-month,90.4,3858.82,Bank transfer,Fiber optic
C1560,One year,39.92,2222.23,Credit card,DSL
C0773,Month-to-month,61.96,4188.4,Bank transfer,DSL
C0795,One year,107.49,7507.62,Credit card,DSL
C3532,Month-to-month,33.72,1960.9,Bank transfer,None
C2903,Month-to-month,28.85,1630.72,Credit card,Fiber optic
C3470,Month-to-month,79.4,5898.5,Credit card,Fiber optic
C3368,Month-to-month,96.79,4287.99,Credit card,DSL
C3826,Month-to-month,120.2,1028.39,Credit card,DSL
C0444,Month-to-month,92.82,5515.41,Electronic check,Fiber optic
C0807,One year,124.08,8157.96,Credit card,Fiber optic
C0497,Two year,46.9,445.24,Mailed check,None
C3299,One year,57.6,1741.46,Electronic check,None
C2780,Month-to-month,112.32,,Credit card,Fiber optic
C0896,Month-to-month,109.22,4887.87,Electronic check,Fiber optic
C2037,Month-to-month,93.14,3926.28,Electronic check,None
C1570,Month-to-month,75.66,5004.82,Electronic check,Fiber optic
C1559,One year,21.95,603.33,Credit card,Fiber optic
C4394,Two year,50.85,1269.55,Electronic check,DSL
C3676,Month-to-month,37.42,1874.35,Electronic check,Fiber optic
C1149,Month-to-month,25.63,1130.92,Electronic check,DSL
C5456,Two year,105.37,1449.43,Electronic check,DSL
C1504,Month-to-month,34.44,785.21,Bank transfer,DSL
C5245,Two year,59.32,1002.56,Electronic check,Fiber optic
C3790,Two year,127.52,909.86,Mailed check,DSL
C2047,Month-to-month,65.01,1001.81,Electronic check,Fiber optic
C0618,Month-to-month,35.57,179.37,Bank transfer,Fiber optic
C3631,Two year,95.87,6407.14,Electronic check,Fiber optic
C4509,One year,109.09,5699.73,Mailed check,DSL
C0803,Month-to-month,50.71,,Electronic check,Fiber optic
C0415,Month-to-month,109.03,3450.19,Bank transfer,DSL
C4429,One year,49.87,516.84,Credit card,None
C0121,Month-to-month,96.24,3414.3,Electronic check,Fiber optic
C0765,Month-to-month,33.73,305.87,Electronic check,DSL
C1937,Month-to-month,67.06,4517.01,Bank transfer,
C1363,Month-to-month,77.25,3178.32,Bank transfer,DSL
C3330,Month-to-month,99.78,8387.21,Electronic check,Fiber optic
C3979,Month-to-month,91.5,4009.42,Bank transfer,Fiber optic
C3944,Month-to-month,113.87,266.57,Bank transfer,Fiber optic
C1752,Month-to-month,40.27,944.26,Mailed check,Fiber optic
C3286,Two year,92.74,1884.01,Bank transfer,Fiber optic
C0481,One year,34.05,1936.88,Electronic check,
C1349,Month-to-month,72.59,5298.51,Electronic check,None
C3105,One year,77.7,6116.67,Electronic check,Fiber optic
C0018,Month-to-month,23.0,1012.23,Electronic check,Fiber optic
C3199,Two year,27.74,503.57,Bank transfer,DSL
C2173,Month-to-month,112.32,598.95,Credit card,Fiber optic
C3728,Month-to-month,51.55,4257.32,Credit card,DSL
C2337,Two year,58.08,539.95,Credit card,DSL
C3466,One year,90.44,,Electronic check,Fiber optic
C4553,Month-to-month,44.28,1771.01,Electronic check,DSL
C3987,Two year,41.21,515.28,Electronic check,DSL
C1269,Two year,66.37,1975.68,Credit card,Fiber optic
C1556,Two year,26.49,1428.88,Credit card,DSL
C2431,Month-to-month,120.87,630.44,Electronic check,Fiber optic
C1784,Two year,123.41,5576.3,Electronic check,None
C0480,Month-to-month,69.3,2199.2,Electronic check,DSL
C4745,One year,43.02,1326.59,Mailed check,Fiber optic
C4442,Month-to-month,71.76,615.7,Electronic check,None
C0500,Month-to-month,30.99,1021.74,Bank transfer,Fiber optic
C2570,Month-to-month,63.76,5403.11,Electronic check,DSL
C0469,Month-to-month,28.1,397.82,Bank transfer,Fiber optic
C0411,Month-to-month,97.68,1043.58,Mailed check,Fiber optic
C4786,Month-to-month,50.33,2107.04,Electronic check,Fiber optic
C3906,Two year,77.27,1094.74,Electronic check,DSL
C4120,One year,21.49,1089.88,Electronic check,DSL
C4351,Month-to-month,77.71,4145.5,Electronic check,Fiber optic
C1290,One year,20.36,582.63,Credit card,Fiber optic
C0466,One year,121.77,6457.13,Electronic check,DSL
C4161,Month-to-month,75.13,2203.32,Bank transfer,None
C0657,One year,31.01,,Credit card,DSL
C1523,One year,57.52,2436.75,Electronic check,Fiber optic
C0562,Month-to-month,25.07,131.93,Bank transfer,DSL
C4875,Month-to-month,78.4,,Bank transfer,Fiber optic
C0557,Month-to-month,33.46,73.02,Electronic check,None
C1927,One year,72.04,,Electronic check,DSL
C3308,Month-to-month,53.61,2060.53,Electronic check,DSL
C0983,One year,103.77,1613.53,Electronic check,Fiber optic
C4667,Month-to-month,73.05,623.29,Electronic check,Fiber optic
C2017,One year,113.3,,Bank transfer,DSL
C4743,Two year,123.55,2904.47,Electronic check,None
C4871,Two year,126.65,8150.82,Credit card,Fiber optic
C0326,One year,48.62,3414.56,Credit card,DSL
C5074,Month-to-month,104.43,3022.13,Electronic check,Fiber optic
C0672,One year,68.19,3816.09,Electronic check,Fiber optic
C3435,One year,66.88,99.41,Electronic check,Fiber optic
C4782,One year,115.51,,Electronic check,Fiber optic
C4631,Two year,36.02,284.15,Bank transfer,Fiber optic
C4283,Month-to-month,72.56,,Electronic check,Fiber optic
C2592,One year,85.22,,Electronic check,DSL
C2137,Month-to-month,27.27,935.16,Credit card,Fiber optic
C1674,Month-to-month,115.1,8279.67,Credit card,Fiber optic
C2574,Month-to-month,54.58,2407.68,Bank transfer,Fiber optic
C1956,Month-to-month,92.25,6615.95,Bank transfer,DSL
C2176,One year,122.09,5160.62,Electronic check,Fiber optic
C3243,One year,99.17,3222.08,Electronic check,None
C1073,One year,117.46,,Electronic check,
C2458,Two year,27.65,2050.26,Credit card,Fiber optic
C3746,One year,74.2,,Bank transfer,DSL
C2591,Two year,82.13,1090.65,Credit card,Fiber optic
C0595,One year,95.79,5418.87,Bank transfer,Fiber optic
C0077,Month-to-month,32.85,1740.03,Bank transfer,
C3755,Month-to-month,92.25,6443.47,Electronic check,
C5089,One year,36.06,,Electronic check,None
C4613,One year,27.44,2200.73,Credit card,DSL
C0820,One year,71.63,1196.82,Bank transfer,Fiber optic
C0601,One year,86.04,4170.57,Bank transfer,Fiber optic
C4405,Two year,125.39,643.82,Electronic check,DSL
C1747,Month-to-month,96.85,,Credit card,Fiber optic
C4145,One year,85.05,4856.25,Credit card,None
C5189,One year,43.6,684.01,Credit card,Fiber optic
C1086,Month-to-month,36.72,960.33,Electronic check,None
C2860,Two year,86.8,6847.68,Electronic check,DSL
C0564,One year,44.52,2679.61,Electronic check,DSL
C2002,Month-to-month,97.73,846.47,Credit card,
C3028,Month-to-month,32.59,2374.6,Mailed check,Fiber optic
C2335,One year,57.36,895.95,Electronic check,DSL
C1293,Month-to-month,105.04,,Bank transfer,Fiber optic
C3590,Month-to-month,111.41,6456.65,Electronic check,None
C4451,Month-to-month,57.98,602.54,Electronic check,
C2479,Two year,42.74,41.2,Electronic check,DSL
C5011,One year,125.4,10301.05,Credit card,DSL
C4334,Month-to-month,103.72,887.48,Electronic check,DSL
C0065,Two year,108.78,287.64,Credit card,Fiber optic
C4544,Two year,44.5,2493.45,Electronic check,
C2453,One year,66.69,,Credit card,DSL
C0849,Month-to-month,27.5,1424.12,Credit card,Fiber optic
C1101,One year,32.03,519.13,Credit card,None
C5423,Month-to-month,44.31,,Bank transfer,DSL
C0946,Month-to-month,53.36,1370.35,Credit card,Fiber optic
C0877,Month-to-month,129.69,531.37,Credit card,DSL
C5331,Month-to-month,66.43,3301.45,Electronic check,None
C5433,Month-to-month,96.77,340.44,Electronic check,DSL
C2232,One year,119.49,3454.25,Mailed check,Fiber optic
C2309,Month-to-month,47.07,,Credit card,DSL
C4955,One year,35.92,1769.09,Electronic check,DSL
C1726,One year,46.76,3140.57,Electronic check,None
C2809,Month-to-month,117.07,858.45,Electronic check,Fiber optic
C1668,One year,93.23,1800.44,Electronic check,Fiber optic
C2163,Month-to-month,69.65,,Mailed check,Fiber optic
C4141,One year,110.23,5978.69,Electronic check,DSL
C5299,Month-to-month,46.04,1936.92,Electronic check,DSL
C2058,One year,46.31,1119.61,Electronic check,Fiber optic
C0417,Month-to-month,82.39,3945.73,Credit card,Fiber optic
C0757,Month-to-month,106.91,5436.22,Mailed check,Fiber optic
C5229,Month-to-month,48.55,1276.04,Electronic check,Fiber optic
C2267,Two year,43.1,1254.38,Bank transfer,Fiber optic
C0362,One year,72.14,3601.68,Mailed check,DSL
C0030,Two year,34.76,2600.93,Bank transfer,Fiber optic
C2733,Two year,102.26,3676.35,Bank transfer,Fiber optic
C1072,Two year,83.51,2879.32,Bank transfer,Fiber optic
C2146,One year,76.38,466.24,Electronic check,DSL
C5305,Month-to-month,115.95,6687.04,Electronic check,DSL
C3620,Two year,100.58,2917.37,Credit card,DSL
C4520,Month-to-month,36.42,452.33,Mailed check,Fiber optic
C3504,Month-to-month,66.25,2680.14,Bank transfer,DSL
C4595,Two year,55.34,,Electronic check,Fiber optic
C0080,Month-to-month,108.23,,Electronic check,Fiber optic
C5297,Month-to-month,99.09,8765.97,Bank transfer,Fiber optic
C0617,Month-to-month,71.92,997.44,Electronic check,DSL
C1222,Two year,110.6,1905.75,Electronic check,DSL
C4470,Two year,65.11,720.54,Electronic check,Fiber optic
C0296,One year,108.39,2743.25,Electronic check,Fiber optic
C3025,Two year,23.53,888.21,Electronic check,Fiber optic
C4772,Month-to-month,34.81,2494.19,Electronic check,None
C4527,Month-to-month,103.16,8791.55,Bank transfer,DSL
C1214,Month-to-month,32.58,1909.88,Bank transfer,Fiber optic
C3521,Month-to-month,95.21,1234.35,Bank transfer,Fiber optic
C1045,Month-to-month,99.59,,Electronic check,None
C0343,Month-to-month,92.84,3080.03,Electronic check,Fiber optic
C2526,Month-to-month,110.01,2031.48,Electronic check,Fiber optic
C2988,Month-to-month,76.28,,Electronic check,Fiber optic
C0327,Month-to-month,118.67,,Electronic check,DSL
C2932,Two year,82.64,3876.28,Electronic check,Fiber optic
C1721,Month-to-month,75.87,2462.58,Credit card,
C2045,Month-to-month,76.03,3958.96,Credit card,Fiber optic
C0843,Month-to-month,120.33,,Electronic check,None
C2898,Two year,46.81,1832.98,Electronic check,Fiber optic
C4587,One year,96.45,2525.56,Electronic check,DSL
C5199,One year,46.69,2134.93,Electronic check,Fiber optic
C1267,Month-to-month,30.14,993.91,Electronic check,Fiber optic
C1940,Month-to-month,124.91,512.05,Electronic check,DSL
C1332,Month-to-month,34.27,307.47,Bank transfer,
C1451,Month-to-month,95.48,3214.07,Credit card,DSL
C3378,One year,66.7,,Bank transfer,Fiber optic
C0204,Two year,112.08,4074.3,Electronic check,
C1470,Month-to-month,105.05,6400.19,Bank transfer,Fiber optic
C2722,One year,35.81,1426.71,Bank transfer,Fiber optic
C3373,Month-to-month,71.46,4587.92,Mailed check,Fiber optic
C2033,Month-to-month,23.03,747.91,Electronic check,Fiber optic
C5327,Month-to-month,67.25,3764.74,Credit card,Fiber optic
C1305,Two year,97.02,3325.35,Electronic check,DSL
C0886,Month-to-month,45.54,2695.48,Credit card,Fiber optic
C3134,One year,109.1,5040.89,Electronic check,
C0318,Month-to-month,25.85,1140.66,Electronic check,None
C3856,Month-to-month,23.8,248.98,Mailed check,None
C1823,Month-to-month,23.02,190.59,Credit card,Fiber optic
C1635,Month-to-month,50.8,2792.49,Mailed check,DSL
C3771,Two year,71.38,702.59,Bank transfer,Fiber optic
C2865,One year,31.82,1147.02,Bank transfer,None
C2501,Month-to-month,129.64,,Bank transfer,DSL
C1865,One year,129.95,3109.65,Bank transfer,Fiber optic
C1827,Month-to-month,77.18,1664.21,Bank transfer,DSL
C0194,One year,82.48,760.06,Electronic check,Fiber optic
C1583,One year,121.95,4346.08,Electronic check,None
C3265,Month-to-month,104.68,,Electronic check,Fiber optic
C2690,Two year,38.47,,Electronic check,Fiber optic
C2283,Month-to-month,107.17,4570.46,Electronic check,Fiber optic
C0569,Month-to-month,45.4,2474.9,Credit card,Fiber optic
C2287,One year,67.33,1323.87,Electronic check,Fiber optic
C2877,Month-to-month,78.58,4754.04,Bank transfer,Fiber optic
C4174,Month-to-month,98.87,6666.49,Electronic check,None
C3275,Month-to-month,36.52,694.67,Bank transfer,
C5420,Two year,28.38,102.12,Bank transfer,Fiber optic
C2713,Month-to-month,115.27,7656.38,Bank transfer,None
C0227,Month-to-month,110.95,559.97,Electronic check,Fiber optic
C0945,Month-to-month,77.56,3002.78,Credit card,DSL
C2140,Month-to-month,92.86,1455.6,Credit card,Fiber optic
C1463,One year,99.12,3470.12,Mailed check,Fiber optic
C4757,Month-to-month,72.42,282.07,Bank transfer,DSL
C2175,One year,48.3,3966.75,Credit card,Fiber optic
C0314,One year,72.95,1606.48,Credit card,None
C0889,Month-to-month,124.59,,Electronic check,DSL
C4888,Month-to-month,112.16,986.22,Credit card,Fiber optic
C3560,One year,71.21,384.0,Electronic check,DSL
C2832,Month-to-month,44.81,2984.95,Credit card,Fiber optic
C5175,Two year,117.86,2785.47,Bank transfer,Fiber optic
C3575,Two year,90.21,3277.91,Bank transfer,Fiber optic
C4967,One year,64.52,4255.1,Electronic check,DSL
C4190,Two year,32.28,2092.34,Credit card,None
C0948,One year,102.69,,Electronic check,Fiber optic
C3156,Month-to-month,54.87,638.68,Credit card,Fiber optic
C4724,Month-to-month,86.69,2848.52,Electronic check,Fiber optic
C1558,Month-to-month,82.66,,Electronic check,Fiber optic
C2087,Month-to-month,96.96,1009.43,Electronic check,DSL
C0364,Month-to-month,79.14,4432.01,Electronic check,DSL
C3573,Month-to-month,89.35,4742.4,Electronic check,DSL
C0014,Month-to-month,28.97,1199.3,Electronic check,DSL
C4260,Month-to-month,93.18,819.81,Electronic check,Fiber optic
C4411,Month-to-month,41.36,1267.24,Credit card,
C1615,Month-to-month,63.12,1423.74,Electronic check,DSL
C2984,One year,76.38,1883.11,Credit card,Fiber optic
C3534,Month-to-month,95.56,4678.47,Electronic check,DSL
C0574,Two year,101.67,4303.04,Credit card,
C2705,Two year,97.54,1479.54,Credit card,Fiber optic
C2572,One year,30.46,784.32,Credit card,None
C1021,Month-to-month,62.56,1381.97,Electronic check,DSL
C2461,One year,50.87,,Credit card,DSL
C4155,Month-to-month,63.83,3018.31,Electronic check,DSL
C2534,One year,91.16,5927.92,Bank transfer,DSL
C3346,Month-to-month,41.22,,Bank transfer,Fiber optic
C2673,One year,75.23,3085.21,Mailed check,DSL
C3297,One year,117.34,89.15,Electronic check,DSL
C2423,One year,100.42,637.24,Electronic check,DSL
C4542,One year,99.79,5680.61,Bank transfer,None
